q,a
Which tool helps you analyze logs and metrics using a query language?,Log Analytics.
What is the difference between Azure Monitor metrics and logs?,Metrics are numerical values collected at regular intervals; logs are records of events containing structured or unstructured data.
What is Azure Service Health?,It provides personalized information about service incidents and planned maintenance affecting your resources.
Which authentication method allows you to sign in to multiple SaaS applications using one identity?,Single Sign-On (SSO).
What is Infrastructure as Code (IaC) in the context of Azure?,"Managing and provisioning infrastructure through code using tools like ARM templates, Bicep, Terraform, or Azure CLI scripts."
What is Azure Cloud Shell?,A browser-accessible shell for managing Azure resources using PowerShell or the Azure CLI without local setup.
What is the difference between Azure CLI and Azure PowerShell?,"Azure CLI uses 'az' commands across platforms, while Azure PowerShell uses PowerShell cmdlets; both manage Azure resources."
What is Azure DevOps?,"A suite of services for collaborating on software development, including repos, pipelines, boards, artifacts, and test plans."
What are GitHub Actions in relation to Azure?,"A CI/CD platform that automates workflows for building, testing, and deploying applications to Azure."
What kind of resources can a single Azure subscription contain?,"Any Azure resources like virtual machines, storage accounts, databases, and more, grouped logically for management and billing."
What is an Azure Management Group?,A container above subscriptions used to manage multiple subscriptions collectively via policies and access control.
Which Azure support plan provides 24/7 access to technical support for critical issues?,The Professional Direct support plan.
What is AzureΓÇÖs service-level agreement (SLA) for VMs deployed in an availability set?,At least 99.95% availability.
Give an example of a Platform as a Service (PaaS) offering in Azure.,Azure SQL Database or Azure App Service.
Name an example of a Software as a Service (SaaS) offering from Microsoft.,Microsoft 365 (Office 365).
What is the difference between public and private preview features in Azure?,Public preview features are available to everyone for testing; private preview features require an invitation.
What is Azure Marketplace?,"An online store offering applications, services, and consulting solutions built by Microsoft and partners."
What is Microsoft Compliance Manager?,A tool that helps manage compliance by tracking regulations and providing assessments and recommended actions.
Which service helps discover and classify sensitive data across Microsoft cloud services?,Microsoft Purview.
What is the difference between horizontal and vertical scaling in Azure?,Horizontal scaling adds more instances of resources; vertical scaling adds more power (CPU/RAM) to an existing instance.
What is elasticity in cloud computing?,The ability to automatically scale resources up or down as demand changes.
What is high availability?,The ability of a system to remain operational and accessible during failures by minimizing downtime.
What is fault tolerance?,The ability of a system to continue operating properly even if some components fail.
What is disaster recovery?,The process of restoring data and applications to resume operations after an outage or disaster.
Which service provides SQL Server in a fully managed PaaS form?,Azure SQL Database or Azure SQL Managed Instance.
What is Azure Cosmos DB?,"A globally distributed, multi-model database service offering low latency and high throughput."
Which Azure service hosts NoSQL key-value or document data?,Azure Table Storage or Cosmos DB.
What is Azure Virtual Desktop?,A desktop and application virtualization service that runs on Azure.
What is Microsoft Entra Domain Services?,"A managed domain service providing domain join, group policy, and LDAP/NTLM without domain controllers."
What does Azure AD Application Proxy do?,It provides secure remote access to on-premises web applications.
What are Azure Logic Apps used for?,Automating workflows and integrating systems using prebuilt connectors.
What is Azure Data Factory?,A cloud-based data integration service for orchestrating data movement and transformation.
What is Azure Synapse Analytics?,An analytics service combining enterprise data warehousing and big data analytics.
What is Azure Machine Learning?,"A platform for building, training, and deploying machine learning models at scale."
What are Azure Cognitive Services?,"A collection of APIs and SDKs for adding AI features like vision, speech, and language to applications."
What does Azure Blueprints do?,"It packages policies, role assignments, and resource templates to implement governance and compliance at scale."
What is Azure DevTest Labs?,A service for quickly provisioning development and test environments while controlling costs and policies.
What is Azure Migrate?,A suite of tools to assess and migrate on-premises workloads to Azure.
What is Azure Site Recovery?,A disaster recovery service that replicates workloads to Azure or secondary sites for business continuity.
What is Azure Backup?,A service providing backup and recovery solutions for Azure resources and on-premises data.
What is serverless computing?,"An execution model where the cloud provider manages server provisioning and scaling, allowing developers to focus on code."
What is a role assignment in Azure RBAC?,"It binds a role definition to a user, group, service principal, or managed identity at a particular scope to grant permissions."
What is an Azure service-level agreement (SLA)?,A formal guarantee from Microsoft specifying uptime and performance for Azure services.
What happens if an Azure service does not meet its SLA?,Customers may be eligible for service credits against their Azure subscription.
"Which tool logs control-plane operations like create, update, and delete on Azure resources?",Azure Activity Log.
What is the difference between the Azure Activity Log and Diagnostic Logs?,"Activity Logs capture control-plane events, while Diagnostic Logs capture data-plane events produced by resources."
What is Azure Databricks?,An Apache Spark-based analytics platform optimized for Azure.
What is Azure Container Registry?,A managed Docker registry service for storing and managing container images.
What is Azure AD B2C?,A customer identity and access management service enabling user sign-up and sign-in with social or local accounts.
Which Azure service provides outbound internet connectivity using a stable set of IP addresses for a virtual network?,Azure Virtual Network NAT Gateway.
